,0,1
314,p2_gold_player_6_600,-0.2890609054096839
315,p2_gold_player_7_600,-0.23941393922420878
313,p2_gold_player_5_600,-0.23371001661635935
316,p2_gold_player_8_600,-0.2334541517542899
317,p2_gold_player_9_600,-0.2333885941899204
307,xp_player_9_600,-0.14149689830576262
305,xp_player_7_600,-0.13916392043573317
295,hero101_team_radiant,-0.13818740104478172
194,player_9_hero_65,-0.12186732751513006
303,xp_player_5_600,-0.11989063224695265
278,hero48_team_radiant,-0.11651020441550763
191,player_5_hero_65,-0.11575893762740996
297,hero59_team_radiant,-0.11410671446556156
304,xp_player_6_600,-0.10684657453641004
178,player_7_hero_65,-0.10518577785875474
130,player_6_hero_65,-0.10157306508482683
306,xp_player_8_600,-0.10085074806576999
227,hero30_team_radiant,-0.09456421168322647
338,radiant_event_type_3,-0.09261991900863745
284,hero51_team_dire,-0.09024893045747304
370,item_98_player7,-0.08643883591114498
265,hero1_team_dire,-0.08370247886511317
296,hero19_team_dire,-0.07975952152454022
331,dire_event_type_3,-0.0790584698165868
82,player_8_hero_65,-0.07858422638993208
354,item_53_player1,-0.076454443667025
195,player_5_hero_74,-0.07571860844016937
277,hero71_team_dire,-0.07117520023018366
153,player_9_hero_70,-0.06652695510915058
283,hero34_team_radiant,-0.06595639977167252
266,hero8_team_radiant,-0.061726843501979545
139,player_5_hero_70,-0.060867861306837724
341,radiant_event_type_6,-0.060699435417100475
289,hero88_team_radiant,-0.05875547883584552
253,hero102_team_radiant,-0.05814326284088746
368,item_53_player0,-0.05656124403496173
365,item_98_player2,-0.053814589456283146
271,hero7_team_dire,-0.0533846105307353
158,player_2_hero_28,-0.05273903461529403
208,hero18_team_radiant,-0.052094152185460464
344,item_48_player8,-0.04971981065832602
56,player_7_hero_70,-0.048641125981530774
254,hero26_team_radiant,-0.04785461614228893
326,lh_player_8_600,-0.04777848565919438
137,player_9_hero_39,-0.04692545519951935
92,player_9_hero_40,-0.04663983223921393
146,player_8_hero_70,-0.046527661084708835
353,item_4_player8,-0.04559857659009843
272,hero90_team_radiant,-0.04514990125170456
211,hero4_team_radiant,-0.044582886004967584
100,player_4_hero_97,-0.04374858150735676
89,player_0_hero_89,-0.04338231658905872
42,player_6_hero_70,-0.0427044019939445
201,hero33_team_radiant,-0.04250608980756024
249,hero105_team_dire,-0.042104552689399014
286,hero78_team_dire,-0.041669138795932675
162,player_8_hero_76,-0.04155468423998741
243,hero17_team_dire,-0.0410900303948005
48,player_6_hero_12,-0.03996295309272466
